el restaurante|restaurant
el pescado|fish (out of water)
la sopa|soup
¿cómo?|how?
¿dónde?|where?
¿quién?|who?
aquí|here
allí|there
alegre|happy (merry)
enojado|angry
bonito|pretty
feliz|happy
bueno|good
guapo|beautiful, handsome
cansado|tired
hermoso|beautiful, handsome
contento|happy (contented)
lindo|pretty
delicioso|delicious
sabroso|delicious
enfermo|sick

el arquitecto|architect
el maestro|teacher
el abogado|lawyer
el ingeniero|engineer
los Estados Unidos|the United States
católico|Catholic
la madera|wood
el plástico|plastic
el cuero|leather
el vidrio|glass
la piedra|stone
la muñeca|doll
la fiesta|party
el concierto|concert
la protesta|protest
el club|club
la capital|capital

el dormitorio / la habitación|the bedroom
el gabinete|the cabinet
la alfombra|the rug
el horno|the oven
el lápiz|the pencil
la cocina|the kitchen
la madera|the wood
la colección|the collection
el refrigerador|the refrigerator
el comedor|the dining room
la pared|the wall
la cortina|the curtain
el patio|the yard
el cuaderno|the notebook
la sala|the living room
el espejo|the mirror
el estudio|the study
la estufa|the stove
el video|the video

antiguo|antique
azul marino|navy blue
cómodo|comfortable
fino|fine/delicate
grueso|thick
limpio|clean
mi / mis|my (sing., pl.)
privado|private
sencillo|simple
todo|all

bastante|enough
todavía|still
la pregunta|question
